review_id,tanggal,review,clean_text,nama_produk,variasi_produk,link_gambar,file_gambar,rating,sentiment,sentiment_numeric
AX000067,2024-07-01,"Tidak sesuai foto barang yg dikirim,udah mahal ,bahannya biasa saja",sesuai foto barang dikirimudah mahal bahan,"Paket 3 pcs kaos distro anak branded laki laki dan perempuan usia 3,5-12 tahun Combed 30s Bunda",Varian: 3pcs motif K - XXL,Ada gambar,AX000067.jpg,2,Negative,0.0
Z000308,2024-12-01,bagus,bagus,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: NAVY GELAP - XXL,Tidak ada gambar,Z000308.jpg,1,Negative,0.0
K000081,2024-08-01,Ukurannya terlalu besar Tinggi badan 150 - 160 cm  Ukurannya pas,ukur badan ukur pas,KEMEJA WANITA POLOS LENGAN PANJANG RAYON LONG SHIRT ORGANIK HITAM,Varian: Kemeja Coral - XL,Ada gambar,K000081.jpg,5,Positive,1.0
AD000038,2025-02-22,"bagus banget bahannya juga bagus n dpt harga murah, n barangnya sampainy cepet bnget. aku tinggi 170 berat 85",bagus banget bahan bagus dpt harga murah barang sampainy cepet bnget berat,Aerostreet Chinos Panjang Elvano Abu Tua Celana Chino EAAAA,Varian: 36,Ada gambar,AD000038.jpg,5,Positive,1.0
AX000021,2025-03-08,Saya mesen ukuran L yg Dateng s gimana si kecewa saya,mesen ukur dateng gimana kecewa,"Paket 3 pcs kaos distro anak branded laki laki dan perempuan usia 3,5-12 tahun Combed 30s Bunda",Varian: 3pcs motif A - L,Tidak ada gambar,AX000021.jpg,1,Negative,0.0
N000389,2025-03-08,Bagus,bagus,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Hitam - All Size,Tidak ada gambar,N000389.jpg,5,Positive,1.0
I000003,2024-12-01,"Jauh dari size chart, entah salah ketika naro tag atau gimana",size chart salah naro tag gimana,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: Forest Green - L,Tidak ada gambar,I000003.jpg,1,Negative,0.0
X000064,2024-12-01,baguss bangett,baguss bangett,House of Smith Harrington Jacket Hangor Navy #4 - Jaket Harrington Pria,Varian: M,Tidak ada gambar,X000064.jpg,5,Positive,1.0
P000203,2025-02-01,Bhan tipis,bhan tipis,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Putih BW - L,Tidak ada gambar,P000203.jpg,1,Negative,0.0
R000225,2024-01-01,"Sesuai deskripsi, qualitynya worth it dengan harga, respon admin & sellernya bagus, pengemasan juga cepat, cuma ukuran L nya kaya XL, biasanya LB 54cm pas dibadan, ta...",sesuai deskripsi qualitynya worth harga respon admin sellernya bagus emas cepat ukur nya kaya pas bad,Jaket Bomber Ribsgold Series,Varian: BomberArmy - L,Tidak ada gambar,R000225.jpg,5,Positive,1.0
AU000024,2025-02-22,Ukuran XXXl kecil banget😭,ukur xxxl banget,Kaos Anak Motif Adek dan Kakak untuk usia 1-12 Tahun Laki-laki dan perempuan,Varian: AK 06 - 10-12 Tahun (XXXL),Tidak ada gambar,AU000024.jpg,2,Negative,0.0
D000056,2024-01-01,"Bahan nya tipis bgt,jahitan nya nggak rapih",bahan nya tipis bgtjahitan nya nggak rapih,HSS - KEMEJA OVERSIZE POLOS BB 100Kg Atasan Wanita Jumbo,Varian: Lemmy - Ld 140,Tidak ada gambar,D000056.jpg,1,Negative,0.0
AC000020,2024-01-01,"salah kirim ukuran, pesan 36 dikirim 34",salah kirim ukur pesan kirim,Aerostreet Chinos Panjang Elvano Navy Celana Chino EAAAA,Varian: 36,Tidak ada gambar,AC000020.jpg,1,Negative,0.0
AV000077,2025-01-01,"Pesannya warna apa yg di kirim warna apaa.
Padahal aku uda beli kaos dalamnya biru.dan kemejanya warna biru.tpi malah kemejanya yg di kirim warna coklat .gmn sihhh",pesan warna kirim warna apaa uda beli kaos dalam birudan kemeja warna birutpi kemeja kirim warna coklat gmn sihhh,Motif Best seller Atasan kemeja anak bahan katun flanel untuk usia 3-10 tahun lengan panjang motif kotak tartan fashion kids Fashion Baju anak anak,Varian: Best  01 - 2XL 7-8 tahun,Tidak ada gambar,AV000077.jpg,2,Negative,0.0
P000162,2025-02-22,"Untuk harga sgini bahan kurang rekomend  
Kecwa 🙏🏿",harga sgini bahan rekomend kecwa,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Milo - XL,Tidak ada gambar,P000162.jpg,2,Negative,0.0
AF000015,2024-01-01,"32 sesak ya, padahal saya sudah ukur pinggang nya 40 cm (30) jadi saya beli lebih gede dikit 42,5 cm (32). Tapi memang bahan nya melar, semoga makin sering di pakai jadi...",sesak ukur pinggang nya beli gede dikit bahan nya melar moga pakai,Aerostreet Chinos Panjang Elvano Hijau Army Celana Chino EAAAA,Varian: 32,Ada gambar,AF000015.jpg,2,Negative,0.0
P000031,2025-03-12,tipis bngett kecewaa,tipis bngett kecewaa,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Hitam - M,Tidak ada gambar,P000031.jpg,1,Negative,0.0
L000354,2024-01-01,Ukurannya pas,ukur pas,CELANA PANJANG JEANS PRIA STRETCH,Varian: biowash - 28,Tidak ada gambar,L000354.jpg,4,Positive,1.0
J000385,2024-01-01,Gud,gud,Kaos Polos New States Apparel 5400 Heavy Cotton T-shirt,Varian: 2XL - Black,Tidak ada gambar,J000385.jpg,5,Positive,1.0
AQ000052,2024-06-01,Jelek anjy baju bekas itu mh mna punya orang pula 😭,jelek anjy baju bekas mna orang,JUMPSUIT / OVERALL LIVE KODE A (1-100),Varian: KODE A54,Ada gambar,AQ000052.jpg,1,Negative,0.0
AI000019,2024-11-01,"kecewaaaa yg dipesan motif apa, yg dateng apa",kecewaaaa pes motif dateng,KEMEJA/BLOUSE ALIKA RAYON PREMIUM LD 120 CM,Varian: LYODRA - 120,Tidak ada gambar,AI000019.jpg,1,Negative,0.0
AF000142,2024-06-01,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,ukur pas badan berat badan,Aerostreet Chinos Panjang Elvano Hijau Army Celana Chino EAAAA,Varian: 34,Tidak ada gambar,AF000142.jpg,5,Positive,1.0
AZ000188,2025-02-15,Pengiriman lama barangnya tidak sesuai,kirim barang sesuai,RANIA ONE SET-Setelan celana dan atasan katun toyobo anak usia 0-10 tahun,Varian: Rania Cream - L,Tidak ada gambar,AZ000188.jpg,1,Negative,0.0
O000234,2025-03-08,Next order kembali.puas dengan produk pengriman dn hargs,next order kembalipuas produk rim hargs,Rok PANJANG Plisket BB WAVY / Rok BB Wavy / rok plisket bb wavy (036),Varian: Almond,Tidak ada gambar,O000234.jpg,5,Positive,1.0
P000117,2025-03-08,bahan nya tipis klo diiklan nya bagus banget.. beda banget am aslinya,bahan nya tipis klo iklan nya bagus banget beda banget asli,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Taro - XL,Tidak ada gambar,P000117.jpg,1,Negative,0.0
E000495,2024-01-01,Bestt,bestt,Sweater XXXL Oversize Sweater Oblong Wanita Bigsize Atasan Crewneck Nyaman Bahan Fleece Sweatshirt Baju Basic Panjang Hoodie,Varian: Maroon,Tidak ada gambar,E000495.jpg,5,Positive,1.0
S000262,2024-01-01,bahannya oke,bahan oke,"Jaket Semi Parka, Kemeja Semi Parka, Canvas Trucker",Varian: Caramel - XXL,Tidak ada gambar,S000262.jpg,5,Positive,1.0
C000038,2025-02-01,mff ya jlk bgt yang warna putih nrawang terus luntur jga warnanya,mff jlk bgt warna putih nrawang luntur jga warna,COZYCLUB Long Sleeve Linen Shirt | Kemeja Pria Kerah Lengan Panjang Baju Dark Grey Beige,Varian: Broken White - M,Tidak ada gambar,C000038.jpg,1,Negative,0.0
B000378,2025-02-01,bagus lucu,bagus lucu,Baju Anak Perempuan - (Ready Stock) Dress Anak Perempuan Aubu Karakter kartun LBB Terlaris / Fashion Dress Anak DTF Monster Lucu Terbaru,Varian: FANTA MIMI - M,Tidak ada gambar,B000378.jpg,5,Positive,1.0
P000198,2025-02-01,Kecewa barang nya kaen nya jelek  tipis jahitan nya krut ga rapi pokonya kecewa ga Kya yg ada live  bagus datang nya jelek sekali,kecewa barang nya kaen nya jelek tipis jahit nya krut rapi poko kecewa kya live bagus nya jelek,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Milo - XL,Tidak ada gambar,P000198.jpg,1,Negative,0.0
AW000039,2025-03-11,kecewa pesan abu di kirim army udh gt pas dtg celana nya basah dan warna nya pudar g amanah,kecewa pesan abu kirim army udh pas dtg celana nya basah warna nya pudar amanah,celana panjang anak laki-laki model cargo umur 5 sampai 15 tahun,Varian: abu - 12 tahun,Tidak ada gambar,AW000039.jpg,1,Negative,0.0
AH000399,2025-01-01,Bagusss ih like new,bagusss like new,[1-100] Atasan Kemeja dan Blouse Santai Elegan - Nyaman,Varian: 52,Tidak ada gambar,AH000399.jpg,5,Positive,1.0
AG000018,2025-03-01,Bwhny memang gak d jait kelililing ya,bwhny gak jait kelililing,Kaos Oversize Lengan 7/8 Wanita T-shirt Wanita Lengan 3/4 Slit Atasan Rayon Belah Samping Basic Baju Panjang Top Polos Oval murah,Varian: Hitam - XL ( LD 110-130Cm ),Tidak ada gambar,AG000018.jpg,1,Negative,0.0
L000262,2024-01-01,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan > 80 kg,ukur pas badan berat badan,CELANA PANJANG JEANS PRIA STRETCH,Varian: biowash - 42,Ada gambar,L000262.jpg,5,Positive,1.0
W000012,2025-03-10,Barang nya mantap..pengirimannya cepat,barang nya mantappengirimannya cepat,House of Smith Bomber Jacket Bomen Black #5 - Jaket Bomber Pria Hitam,Varian: 2XL - Black,Tidak ada gambar,W000012.jpg,5,Positive,1.0
F000371,2024-01-01,"harga dg kwalitas barang,,memuaskan lah..sangat👍👍👍",harga kwalitas barangmemuaskan lahsangat,Hoodie Jumper Jaket Sweater Polos Unisex,Varian: Salem,Ada gambar,F000371.jpg,5,Positive,1.0
AG000022,2025-03-01,Ukuran ld 130 kok ngepres banget,ukur ngepres banget,Kaos Oversize Lengan 7/8 Wanita T-shirt Wanita Lengan 3/4 Slit Atasan Rayon Belah Samping Basic Baju Panjang Top Polos Oval murah,Varian: Putih - XL ( LD 110-130Cm ),Tidak ada gambar,AG000022.jpg,1,Negative,0.0
AY000015,2025-02-22,Bagus bahn nyah,bagus bahn nyah,DRESS JEANS ANAK TERBARU USIA 1 - 7 TAHUN,Varian: DRESS POLOS - M,Tidak ada gambar,AY000015.jpg,2,Negative,0.0
Y000090,2025-02-01,Bagus,bagus,House Of Smith Lpl Misty #26 - Sweater Hoodie Casual Pria Fleece,Varian: XL,Tidak ada gambar,Y000090.jpg,5,Positive,1.0
A000005,2024-01-01,size XL malah kecil kayak S,size kayak,KAOS POLOS WANITA COTTON COMBED 30S BAJU KAOS POLOS CEWEK SIZE XS - XL,Varian: L,Tidak ada gambar,A000005.jpg,2,Negative,0.0
AV000056,2025-02-01,Kena zonk bagian lengan jaitan lepas huhu,kena zonk lengan jaitan lepas huhu,Motif Best seller Atasan kemeja anak bahan katun flanel untuk usia 3-10 tahun lengan panjang motif kotak tartan fashion kids Fashion Baju anak anak,Varian: Best  01 - L 4-5 tahun,Tidak ada gambar,AV000056.jpg,1,Negative,0.0
AA000044,2025-03-01,"ukuran 36 Dipakai sangat nyaman untuk
Tinggi Badan 173 cm
Berat Badan 84 Kg",ukur pakai nyaman badan berat badan,Aerostreet Chinos Panjang Elvano Hitam Celana Chino EAAAA,Varian: 36,Tidak ada gambar,AA000044.jpg,5,Positive,1.0
AE000119,2024-11-01,"recomended..bahan nya halus,produk sesuai dan top markotop",recomendedbahan nya halusproduk sesuai top markotop,Aerostreet Chinos Panjang Elvano Khaki Celana Chino EAAAA,Varian: 36,Tidak ada gambar,AE000119.jpg,5,Positive,1.0
I000420,2024-01-01,"barang sesuai deskripsi penjualan. bahan cukup lembut. ukuran pas untuk saya, walau kalo ada yg 1 level diatas akan lebih enak.",barang sesuai deskripsi jual bahan lembut ukur pas kalo level atas enak,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: Black - XXXL,Tidak ada gambar,I000420.jpg,5,Positive,1.0
AU000021,2025-03-01,"Kek mana bajunya katanya dua bajunya ternyata satu doang,kecewa berat aku, sangat kecewa yg katanya dua ternyata satu",kek baju baju doangkecewa berat kecewa,Kaos Anak Motif Adek dan Kakak untuk usia 1-12 Tahun Laki-laki dan perempuan,Varian: AK 08 - 4-6 Tahun (XL),Tidak ada gambar,AU000021.jpg,1,Negative,0.0
AD000173,2024-07-01,Berat badan > 80 kg,berat badan,Aerostreet Chinos Panjang Elvano Abu Tua Celana Chino EAAAA,Varian: 36,Tidak ada gambar,AD000173.jpg,5,Positive,1.0
J000016,2024-12-01,bahan tipis,bahan tipis,Kaos Polos New States Apparel 5400 Heavy Cotton T-shirt,Varian: Red - XXL,Tidak ada gambar,J000016.jpg,2,Negative,0.0
M000455,2025-01-01,"Aku percaya toko ini, amanah dan juga sesuai harga",percaya toko amanah sesuai harga,4 Pcs 100 Ribu | Kaos Pocket Saku MBN Pria Wanita | Kaos Polos | Kaos Lengan Pendek Santai,Varian: 4 PCS TULIS DI PESAN OPSIONAL - L,Tidak ada gambar,M000455.jpg,5,Positive,1.0
P000462,2025-03-09,Bahan sangat tipissss,bahan tipissss,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Sage soft - M,Tidak ada gambar,P000462.jpg,1,Negative,0.0
F000209,2024-01-01,"Alhamdulillah pesanan sudah sampe dengan selamat... model keren, bahan bagus dan istri saya suka banget... makasih tokped n seller",alhamdulillah pesan sampe selamat model keren bahan bagus istri suka banget makasih tokped seller,Hoodie Jumper Jaket Sweater Polos Unisex,Varian: Baby Pink,Tidak ada gambar,F000209.jpg,5,Positive,1.0
K000428,2024-01-01,pengiriman cepat sekali,kirim cepat,KEMEJA WANITA POLOS LENGAN PANJANG RAYON LONG SHIRT ORGANIK HITAM,Varian: Kemeja Hitam,Ada gambar,K000428.jpg,5,Positive,1.0
AS000027,2024-08-01,Saya blum terima paket ini . kurir nya ngasih paket ini ke orang lain,blum terima paket kurir nya ngasih paket orang,Kayla Tunik Jaring Rajut Outer Dress Rajut Wanita,Varian: MOKA,Tidak ada gambar,AS000027.jpg,2,Negative,0.0
AX000046,2025-02-01,Kenapa  yg dua beda merek nya agak kecewa trs yg dua lbh kecil lg,beda merek nya kecewa trs lbh,"Paket 3 pcs kaos distro anak branded laki laki dan perempuan usia 3,5-12 tahun Combed 30s Bunda",Varian: 3pcs motif A - XXL,Ada gambar,AX000046.jpg,2,Negative,0.0
L000434,2024-01-01,"Ukurannya pas, rapi  jahitannya, mantab pokoknya ,sesuai harga.Recomended,sesuai  diskripsi",ukur pas rapi jahit mantab pokok sesuai hargarecomendedsesuai skripsi,CELANA PANJANG JEANS PRIA STRETCH,Varian: Black Jazz - 36,Tidak ada gambar,L000434.jpg,5,Positive,1.0
N000355,2025-03-08,Atasn nya bagus bahan crengkel XL muat d bb aku yg 77 masih longgar pkoknya puas.. Thankss reseller dan tiktok,atasn nya bagus bahan crengkel muat longgar pkoknya puas thankss reseller tiktok,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Putih - Jumbo XL,Ada gambar,N000355.jpg,5,Positive,1.0
AT000047,2025-02-01,Masak iya sampai hari ini saya retur tidak mau di proses proses barang kan sudah saya kirim kan kok jadi gak jelas kayak gini,masak iya retur proses proses barang kirim gak kayak gin,Faradina Exclusive Listya Dress Gamis Motif Premium Aksen List Busui Friendly Diamond Muslim,Varian: Sultan List,Tidak ada gambar,AT000047.jpg,1,Negative,0.0
AA000381,2024-07-01,"modelnya keren, pas ukurannya waktu dipakai, bahannya mantap juga 👍",model keren pas ukur pakai bahan mantap,Aerostreet Chinos Panjang Elvano Hitam Celana Chino EAAAA,Varian: 32,Ada gambar,AA000381.jpg,5,Positive,1.0
L000197,2024-04-01,"BAGUS, UKURAN PAS, BAHAN HALUS, TOP DAH",bagus ukur pas bahan halus top dah,CELANA PANJANG JEANS PRIA STRETCH,Varian: Bio Blict - 42,Tidak ada gambar,L000197.jpg,5,Positive,1.0
AB000294,2024-03-01,"barangnya bagus, kualitas keren. semoga awet dan ternyata elastis juga kainnya",barang bagus kualitas keren moga awet elastis kain,Aerostreet Chinos Panjang Elvano Krem Celana Chino EAAAA,Varian: 34,Ada gambar,AB000294.jpg,5,Positive,1.0
I000024,2025-02-01,Sesuai pesanan. Mantap sellernya👍👍👍,sesuai pesan mantap sellernya,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: Black - XL,Ada gambar,I000024.jpg,5,Positive,1.0
AE000013,2024-01-01,jahitan resleting mudah lepas,jahit resleting mudah lepas,Aerostreet Chinos Panjang Elvano Khaki Celana Chino EAAAA,Varian: 32,Ada gambar,AE000013.jpg,2,Negative,0.0
J000095,2024-01-01,okay lah untuk harganya,okay harga,Kaos Polos New States Apparel 5400 Heavy Cotton T-shirt,Varian: White - XXL,Tidak ada gambar,J000095.jpg,5,Positive,1.0
G000031,2025-02-15,"pengiriman cepat sampai, cukup bagus dan qualitas sesuai harga. 
mofel std bukan slimfit.",kirim cepat bagus qualitas sesuai harga mofel std slimfit,Celana Bahan Pria Kerja Formal - Laksa Kirana Slim Fit Pants,Varian: Hitam - 32,Ada gambar,G000031.jpg,5,Positive,1.0
AS000078,2024-01-01,Sayaa pesan 2 item . Tapi di terima hanya 1 item saja . Mohon konfirmasi nya .,sayaa pesan item terima item mohon konfirmasi nya,Kayla Tunik Jaring Rajut Outer Dress Rajut Wanita,Varian: DENIM,Ada gambar,AS000078.jpg,2,Negative,0.0
N000416,2025-03-08,bagus tapi luntur. nempel di tas putih:(,bagus luntur nempel tas putih,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Marun - All Size,Tidak ada gambar,N000416.jpg,4,Positive,1.0
AX000066,2024-07-01,"Pesan XXL yg dikirim XL,sempit bagett",pesan xxl kirim xlsempit bagett,"Paket 3 pcs kaos distro anak branded laki laki dan perempuan usia 3,5-12 tahun Combed 30s Bunda",Varian: 3pcs motif A - XXL,Tidak ada gambar,AX000066.jpg,1,Negative,0.0
AC000314,2024-03-01,"Ukurannya pas  Tinggi badan 160 - 170 cm, bahan nyaman dan bagus",ukur pas badan bahan nyaman bagus,Aerostreet Chinos Panjang Elvano Navy Celana Chino EAAAA,Varian: 34,Ada gambar,AC000314.jpg,5,Positive,1.0
H000080,2025-03-08,"Cocok, bgus sesuai",cocok bgus sesuai,Cessie Blouse Wanita Airflow Atasan Crinkle Baju Big Size,Varian: Maroon - Size Jumbo,Tidak ada gambar,H000080.jpg,5,Positive,1.0
AU000033,2025-02-15,"di kasih bintang 2, langsung di teror chat wa dgn berbagai nomor dan di tlpn segala lg. jadi tak gantii  bintang 1. maap ya mbak/mas, ini penilaian saya tak ksh , krna ba...",kasih bintang langsung teror chat dgn nomor tlpn ganti bintang maap mbakmas nilai ksh krna,Kaos Anak Motif Adek dan Kakak untuk usia 1-12 Tahun Laki-laki dan perempuan,Varian: AK 06 - 7-9 Tahun (XXL),Tidak ada gambar,AU000033.jpg,1,Negative,0.0
M000019,2024-10-01,Panas di pake,panas pake,4 Pcs 100 Ribu | Kaos Pocket Saku MBN Pria Wanita | Kaos Polos | Kaos Lengan Pendek Santai,Varian: 4 PCS TULIS DI PESAN OPSIONAL - XXL,Tidak ada gambar,M000019.jpg,2,Negative,0.0
AR000083,2024-01-01,"Bahan panas,ada cacatnya",bahan panasada cacat,INNER KNIT PASTEL - LONG DRESS INNER,Varian: Hitam XL - allsize,Ada gambar,AR000083.jpg,2,Negative,0.0
AR000072,2024-01-01,"Penjual kurang membaca detail pesanan customer,,pesannya XL barang yg dikirim XXL
Kualitas produk: Bahan kurang begitu tebal dengan harga segitu,",jual baca detail pesan customerpesannya barang kirim xxl kualitas produk bahan tebal harga segitu,INNER KNIT PASTEL - LONG DRESS INNER,Varian: Choco XL - allsize,Tidak ada gambar,AR000072.jpg,1,Negative,0.0
AW000069,2025-03-08,Gimna sih orang pesen warna hitam dikirim warna army,gimna sih orang sen warna hitam kirim warna army,celana panjang anak laki-laki model cargo umur 5 sampai 15 tahun,Varian: ARMY - 10 tahun,Tidak ada gambar,AW000069.jpg,1,Negative,0.0
A000217,2024-01-01,"ini udah repet order ke 3 , suka banget",udah repet order suka banget,KAOS POLOS WANITA COTTON COMBED 30S BAJU KAOS POLOS CEWEK SIZE XS - XL,Varian: XL,Tidak ada gambar,A000217.jpg,5,Positive,1.0
P000070,2025-03-09,Tipis bgt . Tapi ngga kefoto,tipis bgt ngga foto,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Hitam - M,Tidak ada gambar,P000070.jpg,2,Negative,0.0
P000197,2025-02-01,Tipis baju nya dan cepet basah nempel keringat,tipis baju nya cepet basah nempel keringat,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Abu Tua - L,Tidak ada gambar,P000197.jpg,2,Negative,0.0
AG000037,2025-02-01,Baju sih TPI bawahnya belum d jahit,baju sih tpi bawah jahit,Kaos Oversize Lengan 7/8 Wanita T-shirt Wanita Lengan 3/4 Slit Atasan Rayon Belah Samping Basic Baju Panjang Top Polos Oval murah,Varian: Hitam - XL ( LD 110-130Cm ),Tidak ada gambar,AG000037.jpg,2,Negative,0.0
O000273,2025-03-08,Lumayan,lumayan,Rok PANJANG Plisket BB WAVY / Rok BB Wavy / rok plisket bb wavy (036),Varian: Broken White,Tidak ada gambar,O000273.jpg,5,Positive,1.0
